bioguide_id,name_as_listed,full_name,party,state,district,vote
C000059,Calvert,Ken Calvert,Republican,CA,41,Yea
C001039,Cammack,Kat Cammack,Republican,FL,3,Yea
C001112,Carbajal,Salud O. Carbajal,Democrat,CA,24,Yea
C001126,Carey,Mike Carey,Republican,OH,15,Yea
C001072,Carson,André Carson,Democrat,IN,7,Yea
C001103,Carter (GA),"Earl L. ""Buddy"" Carter",Republican,GA,1,Yea
C001125,Carter (LA),Troy A. Carter,Democrat,LA,2,Yea
C001051,Carter (TX),John R. Carter,Republican,TX,31,Yea
C001117,Casten,Sean Casten,Democrat,IL,6,Yea
C001091,Castro (TX),Joaquin Castro,Democrat,TX,20,Yea
C001133,Ciscomani,Juan Ciscomani,Republican,AZ,6,Yea
C001123,Cisneros,"Gilbert Ray Cisneros, Jr.",Democrat,CA,31,Yea
C001101,Clark (MA),Katherine M. Clark,Democrat,MA,5,Yea
C001061,Cleaver,Emanuel Cleaver,Democrat,MO,5,Yea
C001118,Cline,Ben Cline,Republican,VA,6,Yea
C001115,Cloud,Michael Cloud,Republican,TX,27,Yea
C001116,Clyde,Andrew S. Clyde,Republican,GA,9,Yea
C001068,Cohen,Steve Cohen,Democrat,TN,9,Yea
C001053,Cole,Tom Cole,Republican,OK,4,Yea
C001129,Collins,Mike Collins,Republican,GA,10,Yea
C001108,Comer,James Comer,Republican,KY,1,Yea
C001136,Conaway,"Herbert C. Conaway, Jr.",Democrat,NJ,3,Yea
C001110,Correa,J. Luis Correa,Democrat,CA,46,Yea
C001059,Costa,Jim Costa,Democrat,CA,21,Yea
C001119,Craig,Angie Craig,Democrat,MN,2,Yea
C001132,Crane,Elijah Crane,Republican,AZ,2,Yea
C001137,Crank,Jeff Crank,Republican,CO,5,Yea
C001120,Crenshaw,Dan Crenshaw,Republican,TX,2,Yea
C001130,Crockett,Jasmine Crockett,Democrat,TX,30,Yea
C001063,Cuellar,Henry Cuellar,Democrat,TX,28,Yea
D000626,Davidson,Warren Davidson,Republican,OH,8,Yea
D000096,Davis (IL),Danny K. Davis,Democrat,IL,7,Yea
D000230,Davis (NC),Donald G. Davis,Democrat,NC,1,Yea
D000594,De La Cruz,Monica De La Cruz,Republican,TX,15,Yea
D000617,DelBene,Suzan K. DelBene,Democrat,WA,1,Yea
D000616,DesJarlais,Scott DesJarlais,Republican,TN,4,Yea
D000600,Diaz-Balart,Mario Diaz-Balart,Republican,FL,26,Yea
D000624,Dingell,Debbie Dingell,Democrat,MI,6,Yea
D000032,Donalds,Byron Donalds,Republican,FL,19,Yea
D000634,Downing,Troy Downing,Republican,MT,2,Yea
D000628,Dunn (FL),Neal P. Dunn,Republican,FL,2,Yea
E000246,Edwards,Chuck Edwards,Republican,NC,11,Yea
E000301,Elfreth,Sarah Elfreth,Democrat,MD,3,Yea
E000071,Ellzey,Jake Ellzey,Republican,TX,6,Yea
E000294,Emmer,Tom Emmer,Republican,MN,6,Yea
E000298,Estes,Ron Estes,Republican,KS,4,Yea
E000300,Evans (CO),Gabe Evans,Republican,CO,8,Yea
E000296,Evans (PA),Dwight Evans,Democrat,PA,3,Yea
E000235,Ezell,Mike Ezell,Republican,MS,4,Yea
F000246,Fallon,Pat Fallon,Republican,TX,4,Yea
F000482,Fedorchak,Julie Fedorchak,Republican,ND,0,Yea
F000446,Feenstra,Randy Feenstra,Republican,IA,4,Yea
F000481,Figures,Shomari Figures,Democrat,AL,2,Yea
F000484,Fine,Randy Fine,Republican,FL,6,Yea
F000475,Finstad,Brad Finstad,Republican,MN,1,Yea
F000470,Fischbach,Michelle Fischbach,Republican,MN,7,Yea
F000471,Fitzgerald,Scott Fitzgerald,Republican,WI,5,Yea
F000466,Fitzpatrick,Brian K. Fitzpatrick,Republican,PA,1,Yea
F000459,Fleischmann,"Charles J. ""Chuck"" Fleischmann",Republican,TN,3,Yea
F000468,Fletcher,Lizzie Fletcher,Democrat,TX,7,Yea
F000474,Flood,Mike Flood,Republican,NE,1,Yea
F000480,Fong,Vince Fong,Republican,CA,20,Yea
F000454,Foster,Bill Foster,Democrat,IL,11,Yea
F000450,Foxx,Virginia Foxx,Republican,NC,5,Yea
F000472,"Franklin, Scott",Scott Franklin,Republican,FL,18,Yea
F000483,Friedman,Laura Friedman,Democrat,CA,30,Yea
F000478,Fry,Russell Fry,Republican,SC,7,Yea
F000469,Fulcher,Russ Fulcher,Republican,ID,1,Yea
F000485,Fuller,Clay Fuller,Republican,GA,14,Yea
G000607,Gallagher,James Gallagher,Republican,CA,1,Yea
G000559,Garamendi,John Garamendi,Democrat,CA,8,Yea
G000597,Garbarino,Andrew R. Garbarino,Republican,NY,2,Yea
G000598,Garcia (CA),Robert Garcia,Democrat,CA,42,Yea
G000603,Gill (TX),Brandon Gill,Republican,TX,26,Yea
G000593,Gimenez,Carlos A. Gimenez,Republican,FL,28,Yea
G000592,Golden (ME),Jared F. Golden,Democrat,ME,2,Yea
G000599,Goldman (NY),Daniel S. Goldman,Democrat,NY,10,Yea
G000601,Goldman (TX),Craig A. Goldman,Republican,TX,12,Yea
G000581,"Gonzalez, V.",Vicente Gonzalez,Democrat,TX,34,Yea
G000589,Gooden,Lance Gooden,Republican,TX,5,Yea
G000583,Gottheimer,Josh Gottheimer,Democrat,NJ,5,Yea
G000546,Graves,Sam Graves,Republican,MO,6,Yea
G000605,Gray,Adam Gray,Democrat,CA,13,Yea
G000553,"Green, Al (TX)",Al Green,Democrat,TX,9,Yea
G000568,Griffith,H. Morgan Griffith,Republican,VA,9,Yea
G000591,Guest,Michael Guest,Republican,MS,3,Yea
G000558,Guthrie,Brett Guthrie,Republican,KY,2,Yea
H001098,Hamadeh (AZ),Abraham J. Hamadeh,Republican,AZ,8,Yea
H001090,Harder (CA),Josh Harder,Democrat,CA,9,Yea
H001099,Haridopolos,Mike Haridopolos,Republican,FL,8,Yea
H001102,Harris (NC),Mark Harris,Republican,NC,8,Yea
H001086,Harshbarger,Diana Harshbarger,Republican,TN,1,Yea
H001082,Hern (OK),Kevin Hern,Republican,OK,1,Yea
H001077,Higgins (LA),Clay Higgins,Republican,LA,3,Yea
H001091,Hinson,Ashley Hinson,Republican,IA,2,Yea
H001093,Houchin,Erin Houchin,Republican,IN,9,Yea
H001085,Houlahan,Chrissy Houlahan,Democrat,PA,6,Yea
H001067,Hudson,Richard Hudson,Republican,NC,9,Yea
H001068,Huffman,Jared Huffman,Democrat,CA,2,Yea
H001058,Huizenga,Bill Huizenga,Republican,MI,4,Yea
H001095,Hunt,Wesley Hunt,Republican,TX,38,Yea
H001100,Hurd (CO),Jeff Hurd,Republican,CO,3,Yea
I000056,Issa,Darrell Issa,Republican,CA,48,Yea
J000311,Jack,Brian Jack,Republican,GA,3,Yea
J000304,Jackson (TX),Ronny Jackson,Republican,TX,13,Yea
J000305,Jacobs,Sara Jacobs,Democrat,CA,51,Yea
J000288,Johnson (GA),"Henry C. ""Hank"" Johnson, Jr.",Democrat,GA,4,Yea
J000299,Johnson (LA),Mike Johnson,Republican,LA,4,Yea
J000301,Johnson (SD),Dusty Johnson,Republican,SD,0,Yea
J000310,Johnson (TX),Julie Johnson,Democrat,TX,32,Yea
J000289,Jordan,Jim Jordan,Republican,OH,4,Yea
J000295,Joyce (OH),David P. Joyce,Republican,OH,14,Yea
J000302,Joyce (PA),John Joyce,Republican,PA,13,Yea
K000009,Kaptur,Marcy Kaptur,Democrat,OH,9,Yea
K000375,Keating,William R. Keating,Democrat,MA,9,Yea
K000385,Kelly (IL),Robin L. Kelly,Democrat,IL,2,Yea
K000388,Kelly (MS),Trent Kelly,Republican,MS,1,Yea
K000376,Kelly (PA),Mike Kelly,Republican,PA,16,Yea
K000402,Kennedy (NY),Timothy M. Kennedy,Democrat,NY,26,Yea
K000403,Kennedy (UT),Mike Kennedy,Republican,UT,3,Yea
K000389,Khanna,Ro Khanna,Democrat,CA,17,Yea
K000399,Kiggans (VA),Jennifer A. Kiggans,Republican,VA,2,Yea
K000401,Kiley (CA),Kevin Kiley,Independent,CA,3,Yea
K000397,Kim,Young Kim,Republican,CA,40,Yea
K000405,Knott,Brad Knott,Republican,NC,13,Yea
K000392,Kustoff,David Kustoff,Republican,TN,8,Yea
L000585,LaHood,Darin LaHood,Republican,IL,16,Yea
L000598,LaLota,Nick LaLota,Republican,NY,1,Yea
L000601,Landsman,Greg Landsman,Democrat,OH,1,Yea
L000600,Langworthy,Nicholas A. Langworthy,Republican,NY,23,Yea
L000606,Latimer,George Latimer,Democrat,NY,16,Yea
L000566,Latta,Robert E. Latta,Republican,OH,5,Yea
L000597,Lee (FL),Laurel M. Lee,Republican,FL,15,Yea
L000595,Letlow,Julia Letlow,Republican,LA,5,Yea
L000593,Levin,Mike Levin,Democrat,CA,49,Yea
L000583,Loudermilk,Barry Loudermilk,Republican,GA,11,Yea
L000491,Lucas,Frank D. Lucas,Republican,OK,3,Yea
L000596,Luna,Anna Paulina Luna,Republican,FL,13,Yea
L000603,Luttrell,Morgan Luttrell,Republican,TX,8,Yea
L000562,Lynch,Stephen F. Lynch,Democrat,MA,8,Yea
M001230,Mackenzie,Ryan Mackenzie,Republican,PA,7,Yea
M001223,Magaziner,Seth Magaziner,Democrat,RI,2,Yea
M000317,Malliotakis,Nicole Malliotakis,Republican,NY,11,Yea
M001228,Maloy,Celeste Maloy,Republican,UT,2,Yea
M000871,Mann,Tracey Mann,Republican,KS,1,Yea
M001231,Mannion,John W. Mannion,Democrat,NY,22,Yea
M001184,Massie,Thomas Massie,Republican,KY,4,Yea
M001199,Mast,Brian J. Mast,Republican,FL,21,Yea
M001163,Matsui,Doris O. Matsui,Democrat,CA,7,Yea
M001208,McBath,Lucy McBath,Democrat,GA,6,Yea
M001238,McBride,Sarah McBride,Democrat,DE,0,Yea
M001157,McCaul,Michael T. McCaul,Republican,TX,10,Yea
M001136,McClain,Lisa C. McClain,Republican,MI,9,Yea
M001232,McClain Delaney,April McClain Delaney,Democrat,MD,6,Yea
M001177,McClintock,Tom McClintock,Republican,CA,5,Yea
M001218,McCormick,Richard McCormick,Republican,GA,7,Yea
M001240,McDowell,Addison P. McDowell,Republican,NC,6,Yea
M000312,McGovern,James P. McGovern,Democrat,MA,2,Yea
M001239,McGuire,John J. McGuire III,Republican,VA,5,Yea
M001229,McIver,LaMonica McIver,Democrat,NJ,10,Yea
M001137,Meeks,Gregory W. Meeks,Democrat,NY,5,Yea
M001246,Mejia,Analilia Mejia,Democrat,NJ,11,Yea
M001245,Menefee,Christian D. Menefee,Democrat,TX,18,Yea
M001226,Menendez,Robert Menendez,Democrat,NJ,8,Yea
M001233,Messmer,Mark B. Messmer,Republican,IN,8,Yea
M001204,Meuser,Daniel Meuser,Republican,PA,9,Yea
M000687,Mfume,Kweisi Mfume,Democrat,MD,7,Yea
M001211,Miller (IL),Mary E. Miller,Republican,IL,15,Yea
M001222,Miller (OH),Max L. Miller,Republican,OH,7,Yea
M001205,Miller (WV),Carol D. Miller,Republican,WV,1,Yea
M001216,Mills,Cory Mills,Republican,FL,7,Yea
M001241,Min,Dave Min,Democrat,CA,47,Yea
M001194,Moolenaar,John R. Moolenaar,Republican,MI,2,Yea
M001212,Moore (AL),Barry Moore,Republican,AL,1,Yea
M001236,Moore (NC),Tim Moore,Republican,NC,14,Yea
M001235,Moore (WV),Riley M. Moore,Republican,WV,2,Yea
M001224,Moran,Nathaniel Moran,Republican,TX,1,Yea
M001217,Moskowitz,Jared Moskowitz,Democrat,FL,23,Yea
M001196,Moulton,Seth Moulton,Democrat,MA,6,Yea
M001214,Mrvan,Frank J. Mrvan,Democrat,IN,1,Yea
M001225,Mullin,Kevin Mullin,Democrat,CA,15,Yea
M001210,Murphy,Gregory F. Murphy,Republican,NC,3,Yea
N000015,Neal,Richard E. Neal,Democrat,MA,1,Yea
N000026,Nehls,Troy E. Nehls,Republican,TX,22,Yea
N000190,Norman,Ralph Norman,Republican,SC,5,Yea
N000193,Nunn (IA),Zachary Nunn,Republican,IA,3,Yea
O000019,Obernolte,Jay Obernolte,Republican,CA,23,Yea
O000175,Ogles,Andrew Ogles,Republican,TN,5,Yea
O000176,Olszewski,"Johnny Olszewski, Jr.",Democrat,MD,2,Yea
O000177,Onder,"Robert F. Onder, Jr.",Republican,MO,3,Yea
O000086,Owens,Burgess Owens,Republican,UT,4,Yea
P000034,Pallone,"Frank Pallone, Jr.",Democrat,NJ,6,Yea
P000609,Palmer,Gary J. Palmer,Republican,AL,6,Yea
P000613,Panetta,Jimmy Panetta,Democrat,CA,19,Yea
P000622,Patronis,Jimmy Patronis,Republican,FL,1,Yea
P000197,Pelosi,Nancy Pelosi,Democrat,CA,11,Yea
G000600,Perez,Marie Gluesenkamp Perez,Democrat,WA,3,Yea
P000605,Perry,Scott Perry,Republican,PA,10,Yea
P000608,Peters,Scott H. Peters,Democrat,CA,50,Yea
P000620,Pettersen,Brittany Pettersen,Democrat,CO,7,Yea
P000048,Pfluger,August Pfluger,Republican,TX,11,Yea
P000597,Pingree,Chellie Pingree,Democrat,ME,1,Yea
P000621,Pou,Nellie Pou,Democrat,NJ,9,Yea
R000621,Randall,Emily Randall,Democrat,WA,6,Yea
R000610,Reschenthaler,Guy Reschenthaler,Republican,PA,14,Yea
R000620,Rivas,Luz M. Rivas,Democrat,CA,29,Yea
R000575,Rogers (AL),Mike Rogers,Republican,AL,3,Yea
R000395,Rogers (KY),Harold Rogers,Republican,KY,5,Yea
R000612,Rose,John W. Rose,Republican,TN,6,Yea
R000603,Rouzer,David Rouzer,Republican,NC,7,Yea
R000599,Ruiz,Raul Ruiz,Democrat,CA,25,Yea
R000619,Rulli,Michael A. Rulli,Republican,OH,6,Yea
R000609,Rutherford,John H. Rutherford,Republican,FL,5,Yea
R000579,Ryan,Patrick Ryan,Democrat,NY,18,Yea
S000168,Salazar,Maria Elvira Salazar,Republican,FL,27,Yea
S001156,Sánchez,Linda T. Sánchez,Democrat,CA,38,Yea
S001176,Scalise,Steve Scalise,Republican,LA,1,Yea
S001145,Schakowsky,Janice D. Schakowsky,Democrat,IL,9,Yea
S001228,Schmidt,Derek Schmidt,Republican,KS,2,Yea
S001190,Schneider,Bradley Scott Schneider,Democrat,IL,10,Yea
S001221,Scholten,Hillary J. Scholten,Democrat,MI,3,Yea
S001216,Schrier,Kim Schrier,Democrat,WA,8,Yea
S001183,Schweikert,David Schweikert,Republican,AZ,1,Yea
S001189,"Scott, Austin",Austin Scott,Republican,GA,8,Yea
S000250,Sessions,Pete Sessions,Republican,TX,17,Yea
S001185,Sewell,Terri A. Sewell,Democrat,AL,7,Yea
S000344,Sherman,Brad Sherman,Democrat,CA,32,Yea
S001229,Shreve,Jefferson Shreve,Republican,IN,6,Yea
S001231,Simon,Lateefah Simon,Democrat,CA,12,Yea
S001148,Simpson,Michael K. Simpson,Republican,ID,2,Yea
S001195,Smith (MO),Jason Smith,Republican,MO,8,Yea
S001172,Smith (NE),Adrian Smith,Republican,NE,3,Yea
S001199,Smucker,Lloyd Smucker,Republican,PA,11,Yea
S001200,Soto,Darren Soto,Democrat,FL,9,Yea
S000929,Spartz,Victoria Spartz,Republican,IN,5,Yea
S001218,Stansbury,Melanie A. Stansbury,Democrat,NM,1,Yea
S001212,Stauber,Pete Stauber,Republican,MN,8,Yea
S001214,Steube,W. Gregory Steube,Republican,FL,17,Yea
S001159,Strickland,Marilyn Strickland,Democrat,WA,10,Yea
S001220,Strong,Dale W. Strong,Republican,AL,5,Yea
S001188,Stutzman,Marlin A. Stutzman,Republican,IN,3,Yea
S001230,Subramanyam,Suhas Subramanyam,Democrat,VA,10,Yea
S001201,Suozzi,Thomas R. Suozzi,Democrat,NY,3,Yea
T000490,Taylor,David J. Taylor,Republican,OH,2,Yea
T000478,Tenney,Claudia Tenney,Republican,NY,24,Yea
T000488,Thanedar,Shri Thanedar,Democrat,MI,13,Yea
T000460,Thompson (CA),Mike Thompson,Democrat,CA,4,Yea
T000467,Thompson (PA),Glenn Thompson,Republican,PA,15,Yea
T000165,Tiffany,Thomas P. Tiffany,Republican,WI,7,Yea
T000480,Timmons,William R. Timmons IV,Republican,SC,4,Yea
T000474,Torres (CA),Norma J. Torres,Democrat,CA,35,Yea
T000482,Trahan,Lori Trahan,Democrat,MA,3,Yea
T000491,Tran,Derek Tran,Democrat,CA,45,Yea
U000040,Underwood,Lauren Underwood,Democrat,IL,14,Yea
V000129,Valadao,David G. Valadao,Republican,CA,22,Yea
V000133,Van Drew,Jefferson Van Drew,Republican,NJ,2,Yea
V000134,Van Duyne,Beth Van Duyne,Republican,TX,24,Yea
V000139,Van Epps,Matt Van Epps,Republican,TN,7,Yea
V000135,Van Orden,Derrick Van Orden,Republican,WI,3,Yea
V000130,Vargas,Juan Vargas,Democrat,CA,52,Yea
V000136,Vasquez,Gabe Vasquez,Democrat,NM,2,Yea
W000812,Wagner,Ann Wagner,Republican,MO,2,Yea
W000798,Walberg,Tim Walberg,Republican,MI,5,Yea
W000187,Waters,Maxine Waters,Democrat,CA,43,Yea
W000814,Weber (TX),"Randy K. Weber, Sr.",Republican,TX,14,Yea
W000806,Webster (FL),Daniel Webster,Republican,FL,11,Yea
W000830,Whitesides,George Whitesides,Democrat,CA,27,Yea
W000829,Wied,Tony Wied,Republican,WI,8,Yea
W000816,Williams (TX),Roger Williams,Republican,TX,25,Yea
W000808,Wilson (FL),Frederica S. Wilson,Democrat,FL,24,Yea
W000795,Wilson (SC),Joe Wilson,Republican,SC,2,Yea
W000804,Wittman,Robert J. Wittman,Republican,VA,1,Yea
Y000067,Yakym,Rudy Yakym III,Republican,IN,2,Yea
A000380,Amo,Gabe Amo,Democrat,RI,1,Nay
A000381,Ansari,Yassamin Ansari,Democrat,AZ,3,Nay
A000148,Auchincloss,Jake Auchincloss,Democrat,MA,4,Nay
B001318,Balint,Becca Balint,Democrat,VT,0,Nay
B001282,Barr,Andy Barr,Republican,KY,6,Nay
B001300,Barragán,Nanette Diaz Barragán,Democrat,CA,44,Nay
B001292,Beyer,"Donald S. Beyer, Jr.",Democrat,VA,8,Nay
B001302,Biggs (AZ),Andy Biggs,Republican,AZ,5,Nay
B001278,Bonamici,Suzanne Bonamici,Democrat,OR,1,Nay
B001326,Bynum,Janelle S. Bynum,Democrat,OR,5,Nay
C001131,Casar,Greg Casar,Democrat,TX,35,Nay
C001055,Case,Ed Case,Democrat,HI,1,Nay
C001066,Castor (FL),Kathy Castor,Democrat,FL,14,Nay
C001080,Chu,Judy Chu,Democrat,CA,28,Nay
C001067,Clarke (NY),Yvette D. Clarke,Democrat,NY,9,Nay
C000537,Clyburn,James E. Clyburn,Democrat,SC,6,Nay
C001069,Courtney,Joe Courtney,Democrat,CT,2,Nay
C001087,Crawford,"Eric A. ""Rick"" Crawford",Republican,AR,1,Nay
C001121,Crow,Jason Crow,Democrat,CO,6,Nay
D000629,Davids (KS),Sharice Davids,Democrat,KS,3,Nay
D000631,Dean (PA),Madeleine Dean,Democrat,PA,4,Nay
D000197,DeGette,Diana DeGette,Democrat,CO,1,Nay
D000216,DeLauro,Rosa L. DeLauro,Democrat,CT,3,Nay
D000530,Deluzio,Christopher R. Deluzio,Democrat,PA,17,Nay
D000623,DeSaulnier,Mark DeSaulnier,Democrat,CA,10,Nay
D000399,Doggett,Lloyd Doggett,Democrat,TX,37,Nay
E000299,Escobar,Veronica Escobar,Democrat,TX,16,Nay
E000297,Espaillat,Adriano Espaillat,Democrat,NY,13,Nay
F000477,Foushee,Valerie P. Foushee,Democrat,NC,4,Nay
F000462,"Frankel, Lois",Lois Frankel,Democrat,FL,22,Nay
F000476,Frost,Maxwell Frost,Democrat,FL,10,Nay
G000586,García (IL),"Jesús G. ""Chuy"" García",Democrat,IL,4,Nay
G000587,Garcia (TX),Sylvia R. Garcia,Democrat,TX,29,Nay
G000602,Gillen,Laura Gillen,Democrat,NY,4,Nay
G000585,Gomez,Jimmy Gomez,Democrat,CA,34,Nay
G000604,Goodlander,Maggie Goodlander,Democrat,NH,2,Nay
G000565,Gosar,Paul A. Gosar,Republican,AZ,9,Nay
G000606,Grijalva,Adelita S. Grijalva,Democrat,AZ,7,Nay
G000576,Grothman,Glenn Grothman,Republican,WI,6,Nay
H001096,Hageman,Harriet M. Hageman,Republican,WY,0,Nay
H001101,Harrigan,Pat Harrigan,Republican,NC,10,Nay
H001052,Harris (MD),Andy Harris,Republican,MD,1,Nay
H001081,Hayes,Jahana Hayes,Democrat,CT,5,Nay
H001072,Hill (AR),J. French Hill,Republican,AR,2,Nay
H001047,Himes,James A. Himes,Democrat,CT,4,Nay
H001066,Horsford,Steven Horsford,Democrat,NV,4,Nay
H000874,Hoyer,Steny H. Hoyer,Democrat,MD,5,Nay
H001094,Hoyle (OR),Val T. Hoyle,Democrat,OR,4,Nay
I000058,Ivey,Glenn Ivey,Democrat,MD,4,Nay
J000309,Jackson (IL),Jonathan L. Jackson,Democrat,IL,1,Nay
J000298,Jayapal,Pramila Jayapal,Democrat,WA,7,Nay
J000294,Jeffries,Hakeem S. Jeffries,Democrat,NY,8,Nay
K000400,Kamlager-Dove,Sydney Kamlager-Dove,Democrat,CA,37,Nay
K000398,Kean,"Thomas H. Kean, Jr.",Republican,NJ,7,Nay
K000391,Krishnamoorthi,Raja Krishnamoorthi,Democrat,IL,8,Nay
L000560,Larsen (WA),Rick Larsen,Democrat,WA,2,Nay
L000557,Larson (CT),John B. Larson,Democrat,CT,1,Nay
L000599,Lawler,Michael Lawler,Republican,NY,17,Nay
L000590,Lee (NV),Susie Lee,Democrat,NV,3,Nay
L000602,Lee (PA),Summer L. Lee,Democrat,PA,12,Nay
L000607,Liccardo,Sam T. Liccardo,Democrat,CA,16,Nay
L000582,Lieu,Ted Lieu,Democrat,CA,36,Nay
L000397,Lofgren,Zoe Lofgren,Democrat,CA,18,Nay
M001227,McClellan,Jennifer L. McClellan,Democrat,VA,4,Nay
M001143,McCollum,Betty McCollum,Democrat,MN,4,Nay
M001237,McDonald Rivet,Kristen McDonald Rivet,Democrat,MI,8,Nay
M001220,McGarvey,Morgan McGarvey,Democrat,KY,3,Nay
M001188,Meng,Grace Meng,Democrat,NY,6,Nay
M001213,Moore (UT),Blake D. Moore,Republican,UT,1,Nay
M001160,Moore (WI),Gwen Moore,Democrat,WI,4,Nay
M001206,Morelle,Joseph D. Morelle,Democrat,NY,25,Nay
M001234,Morrison,Kelly Morrison,Democrat,MN,3,Nay
N000002,Nadler,Jerrold Nadler,Democrat,NY,12,Nay
N000191,Neguse,Joe Neguse,Democrat,CO,2,Nay
N000189,Newhouse,Dan Newhouse,Republican,WA,4,Nay
N000188,Norcross,Donald Norcross,Democrat,NJ,1,Nay
O000172,Ocasio-Cortez,Alexandria Ocasio-Cortez,Democrat,NY,14,Nay
O000173,Omar,Ilhan Omar,Democrat,MN,5,Nay
P000614,Pappas,Chris Pappas,Democrat,NH,1,Nay
P000607,Pocan,Mark Pocan,Democrat,WI,2,Nay
P000617,Pressley,Ayanna Pressley,Democrat,MA,7,Nay
Q000023,Quigley,Mike Quigley,Democrat,IL,5,Nay
R000617,Ramirez,Delia C. Ramirez,Democrat,IL,3,Nay
R000606,Raskin,Jamie Raskin,Democrat,MD,8,Nay
R000622,Riley (NY),Josh Riley,Democrat,NY,19,Nay
R000305,Ross,Deborah K. Ross,Democrat,NC,2,Nay
R000614,Roy,Chip Roy,Republican,TX,21,Nay
S001226,Salinas,Andrea Salinas,Democrat,OR,6,Nay
S001205,Scanlon,Mary Gay Scanlon,Democrat,PA,5,Nay
S000185,Scott (VA),"Robert C. ""Bobby"" Scott",Democrat,VA,3,Nay
S001224,Self,Keith Self,Republican,TX,3,Nay
S000522,Smith (NJ),Christopher H. Smith,Republican,NJ,4,Nay
S000510,Smith (WA),Adam Smith,Democrat,WA,9,Nay
S001225,Sorensen,Eric Sorensen,Democrat,IL,17,Nay
S001211,Stanton,Greg Stanton,Democrat,AZ,4,Nay
S001196,Stefanik,Elise M. Stefanik,Republican,NY,21,Nay
S001213,Steil,Bryan Steil,Republican,WI,1,Nay
S001215,Stevens,Haley M. Stevens,Democrat,MI,11,Nay
S001223,Sykes,Emilia Strong Sykes,Democrat,OH,13,Nay
T000472,Takano,Mark Takano,Democrat,CA,39,Nay
T000193,Thompson (MS),Bennie G. Thompson,Democrat,MS,2,Nay
T000468,Titus,Dina Titus,Democrat,NV,1,Nay
T000481,Tlaib,Rashida Tlaib,Democrat,MI,12,Nay
T000487,Tokuda,Jill N. Tokuda,Democrat,HI,2,Nay
T000469,Tonko,Paul Tonko,Democrat,NY,20,Nay
T000486,Torres (NY),Ritchie Torres,Democrat,NY,15,Nay
T000463,Turner (OH),Michael R. Turner,Republican,OH,10,Nay
V000131,Veasey,Marc A. Veasey,Democrat,TX,33,Nay
V000081,Velázquez,Nydia M. Velázquez,Democrat,NY,7,Nay
V000138,Vindman,Eugene Simon Vindman,Democrat,VA,7,Nay
W000831,Walkinshaw,James R. Walkinshaw,Democrat,VA,11,Nay
W000797,Wasserman Schultz,Debbie Wasserman Schultz,Democrat,FL,25,Nay
W000822,Watson Coleman,Bonnie Watson Coleman,Democrat,NJ,12,Nay
W000821,Westerman,Bruce Westerman,Republican,AR,4,Nay
W000788,Williams (GA),Nikema Williams,Democrat,GA,5,Nay
W000809,Womack,Steve Womack,Republican,AR,3,Nay
Z000018,Zinke,Ryan K. Zinke,Republican,MT,1,Nay
D000635,Dexter,Maxine Dexter,Democrat,OR,3,Not Voting
F000110,Fields,Cleo Fields,Democrat,LA,6,Not Voting
